Nom,address_raw,formatted_address,lat,lng,non_dangereux,dangereux,amiantes
Déchèterie Charvieu-chavagneux,Déchèterie Charvieu-chavagneux le Plan Lieu Dit le Plan Charvieu-Chavagneux 38230,"Lieudit ""Le Plan, 38230 Charvieu-Chavagneux, France",45.7211908,5.1474689,True,True,False
Déchèterie Chasse-sur-Rhone,Déchèterie Chasse-sur-Rhone Route de Communay 236 Route de Communay Chasse-sur-Rhône 38670,"236 Rte de Communay, 38670 Chasse-sur-Rhône, France",45.584577,4.803167,True,True,False
Déchèterie Chateauneuf-de-Galaure,Déchèterie Chateauneuf-de-Galaure Dechetterie des Metelles Quartier les Metelles Châteauneuf-de-Galaure 26330,"Route de Roman, Les Metellet, 26330 Châteauneuf-de-Galaure, France",45.2265836,4.962617799999999,False,False,True
Déchèterie Chateauvilain,Déchèterie Chateauvilain Quermonin Quermonin Châteauvilain 38300,"Rue du Ctre, 38300 Châteauvilain, France",45.5026761,5.3202197,True,True,False
Déchèterie Chatelard (le ),Déchèterie Chatelard (le ) Leyat Rd 206 Le Châtelard 73630,"73630 Le Châtelard, France",45.6735213,6.138353,True,True,True
Déchèterie Chazay-d'azergues,Déchèterie Chazay-d'azergues les Petites Culattes Route de Saint Antoine Chazay-d'Azergues 69380,"Rte de Saint-Antoine, 69380 Chazay-d'Azergues, France",45.8855076,4.7193888,True,True,False
Déchèterie Chazelles-sur-lyon,Déchèterie Chazelles-sur-lyon le Fond Rivaud  Chazelles-sur-Lyon 42140,"Fond Rivaud, 42140 Chazelles-sur-Lyon, France",45.63762699999999,4.401941,False,False,True
Déchèterie Chindrieux,Déchèterie Chindrieux le Praz le Praz Chindrieux 73310,"Rte de Vions, 73310 Chindrieux, France",45.8306665,5.838106499999999,False,False,True
Déchèterie Colombier-Saugnieu,Déchèterie Colombier-Saugnieu le Reverolle le Reverolle Colombier-Saugnieu 69124,"10 Chem. des Brosses, 69124 Colombier-Saugnieu, France",45.7206723,5.141339599999999,True,True,False
Déchèterie Cote-Saint-Andre (la ),Déchèterie Cote-Saint-Andre (la ) la Bièvre Chemin des Charpillates 38260#la Cote St André La Côte-Saint-André 38260,"38260 La Côte-Saint-André, France",45.393794,5.260022,True,True,False
Déchèterie Coublevie,Déchèterie Coublevie Route de Saint Jean Route de Saint Jean Coublevie 38500,"Rte de Saint-Jean, 38500 Coublevie, France",45.3498032,5.6002389,True,True,False
Déchèterie Courchevel - Plan du Vah,Déchèterie Courchevel - Plan du Vah Plan du Vah / St Bon Située Entre Courchevel 1650 et Courchevel 1850 Saint-Bon-Tarentaise* 73120,"Rte du Plan du Vah, 73120 Courchevel, France",45.4017231,6.6441566,True,True,False
Déchèterie Courchevel - le Carrey,Déchèterie Courchevel - le Carrey l'Ilaz / Carrey l'Ilaz Saint-Bon-Tarentaise* 73120,"Rte du Plan du Vah, 73120 Courchevel, France",45.4017231,6.6441566,True,True,True
Déchèterie Crest,Déchèterie Crest Déchetterie Pied Gay Rue Digue Pied Gay Crest 26400,"Quai Pied Gai, 26400 Crest, France",44.7298197,5.0067261,True,True,False
Déchèterie Croizet-sur-Gand,Déchèterie Croizet-sur-Gand Matard  Croizet-sur-Gand 42540,"Matard, Croizet-sur-Gand, France",45.9250604,4.2211499,True,True,False
